matiere,intitule,reponse
francais,Quel est le synonyme du mot "content" ?,Heureux
francais,Quel est l'antonyme du mot "petit" ?,Grand
francais,Trouve le verbe dans la phrase : "Le chien court dans le jardin".,Court
francais,Quel est le féminin du mot "acteur" ?,Actrice
francais,Trouve l'adjectif qualificatif dans la phrase : "Le ciel est bleu".,Bleu
francais,Quel est l'article défini qui convient : "___ soleil brille aujourd'hui".,Le
francais,Trouve le pronom personnel dans la phrase : "Elle joue au parc".,Elle
francais,Combien de syllabes contient le mot "ordinateur" ? Ecris en chiffre.,4
francais,Quel est le pluriel du mot "cheval" ?,Chevaux
francais,Trouve l'adverbe dans la phrase : "Elle chante magnifiquement".,Magnifiquement
francais,Trouve l'infinitif du verbe conjugué dans la phrase : "Elle mange une pomme".,Manger
francais,Trouve l'adjectif possessif dans la phrase : "Notre maison est grande".,Notre
francais,Quel est le participe passé du verbe "voir" ?,Vu
Français,Quel est le sujet de la phrase "Les enfants jouent dans le jardin." ?,Les enfants
Français,Quel est l'infinitif du verbe conjugué dans la phrase "Elle chante magnifiquement." ?,Chanter
Français,Quel est le pluriel de "château" ?,Châteaux
Français,Donne un exemple d'adjectif qualificatif.,Heureux
Français,Transforme la phrase "Je vais à l'école" à la forme négative.,Je ne vais pas à l'école
Français,Quel est le participe passé du verbe "manger" ?,Mangé
Français,Donne le synonyme de "intelligent".,Malin
Français,Conjugue le verbe "aller" à la deuxième personne du pluriel au présent.,Vous allez
Français,Quelle est la fonction du complément d'objet direct dans une phrase ?,Il complète le verbe en répondant à la question "quoi ?" ou "qui ?"
Français,Quel est le superlatif de l'adjectif "grand" ?,Le plus grand
Français,Construis une phrase avec un complément circonstanciel de lieu.,Il joue dans le parc.
Français,Quel est le nom de l'auteur de "Le Petit Prince" ?,Antoine de Saint-Exupéry
Français,Quel est l'imparfait du verbe "être" à la première personne du pluriel ?,Nous étions
Français,Quelle est la nature du mot souligné dans la phrase "La petite fille était très sage." ?,Adjectif
Français,Forme le féminin de "acteur".,Actrice
Français,Quel est le futur simple du verbe "avoir" à la troisième personne du singulier ?,Il/elle aura
Français,Donne un exemple d'onomatopée.,Boum
Français,Quel est le nom de la principale rivière qui traverse Paris ?,La Seine
Français,Quelle est la règle d'accord du participe passé avec l'auxiliaire "avoir" ?,Il s'accorde en genre et en nombre avec le complément d'objet direct s'il est placé avant le verbe.
Français,Conjugue le verbe "partir" à la première personne du pluriel au passé composé.,Nous sommes partis
Français,Quel est le pluriel de "animal" ?,Animaux
Français,Donne le synonyme de "joyeux".,Heureux
Français,Construis une phrase avec un complément circonstanciel de temps.,Elle partira demain.
Français,Quelle est la règle d'accord du participe passé avec l'auxiliaire "être" ?,Il s'accorde en genre et en nombre avec le sujet.
Français,Quel est le comparatif de supériorité de l'adjectif "petit" ?,Plus petit
Français,Conjugue le verbe "savoir" à la deuxième personne du singulier au conditionnel.,Tu saurais
Français,Quel est le pluriel de "monsieur" ?,Messieurs
Français,Donne le contraire de "mince".,Épais
Français,Transforme la phrase "Il mange la pomme" à la forme passive.,La pomme est mangée par lui.
Français,Quelle est la fonction du complément d'objet indirect dans une phrase ?,Il répond à la question "à qui ?", "à quoi ?", "de qui ?", "de quoi ?"
Français,Conjugue le verbe "vouloir" à la première personne du singulier au subjonctif présent.,Que je veuille
Français,Quel est le futur antérieur du verbe "aller" à la troisième personne du pluriel ?,Ils seront allés
Français,Donne le synonyme de "rapidement".,Vite
Français,Quel est l'impératif du verbe "écouter" à la deuxième personne du pluriel ?,Écoutez
Français,Quel est le nom de l'auteur de "Roméo et Juliette" ?,William Shakespeare
Français,Quel est le passé simple du verbe "avoir" à la troisième personne du singulier ?,Il eut
Français,Conjugue le verbe "dire" à la première personne du singulier au présent de l'indicatif.,Je dis
Français,Quelle est la nature du mot souligné dans la phrase "Il pleut fort." ?,Adverbe
Français,Quel est le subjonctif imparfait du verbe "être" à la deuxième personne du pluriel ?,Vous fussiez
Français,Donne le pluriel de "cheval".,Chevaux
Français,Conjugue le verbe "venir" à la troisième personne du pluriel au futur.,Ils viendront
Français,Quel est l'adverbe de manière de l'adjectif "rapide" ?,Rapidement
Français,Quel est l'infinitif du verbe conjugué dans la phrase "Tu chantes bien." ?,Chanter
Français,Construis une phrase avec un complément d'objet direct.,Elle aime les fleurs.
Français,Quelle est la fonction du complément circonstanciel de manière dans une phrase ?,Il répond à la question "comment ?"
Français,Conjugue le verbe "faire" à la deuxième personne du singulier au conditionnel.,Tu ferais
Français,Quelle est la nature du mot souligné dans la phrase "Il y a beaucoup de livres." ?,Préposition
Français,Quel est le passé composé du verbe "pouvoir" à la première personne du pluriel ?,Nous avons pu
Français,Quel est le nom de l'auteur de "Les Misérables" ?,Victor Hugo